Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,ModeSpeed
Synthetic_240419_122852,gpu,20,2.14,1.871,0.125,0.045,0.0
Synthetic_240419_122852,spinnaker,7,1.766,1.763,0.125,0.045,0.0
Synthetic_240419_123017,gpu,21,2.133,1.868,0.125,0.045,0.0
Synthetic_240419_123017,spinnaker,5,1.795,1.792,0.125,0.045,0.0
Synthetic_240419_123144,gpu,20,2.609,2.096,0.195,0.084,0.068
Synthetic_240419_123144,spinnaker,25,1.927,1.748,0.195,0.084,0.068
Synthetic_240419_123311,gpu,21,2.387,1.858,0.195,0.084,0.068
Synthetic_240419_123311,spinnaker,12,2.035,1.765,0.195,0.083,0.068
Synthetic_240419_123439,gpu,24,2.145,1.843,0.195,0.084,0.068
Synthetic_240419_123439,spinnaker,12,2.033,1.985,0.195,0.083,0.068
Synthetic_240419_123608,gpu,18,2.134,1.848,0.195,0.085,0.068
Synthetic_240419_123608,spinnaker,12,2.032,1.98,0.195,0.083,0.068
Synthetic_240419_123736,gpu,23,2.134,1.842,0.195,0.084,0.068
Synthetic_240419_123736,spinnaker,9,2.027,1.983,0.195,0.084,0.068
Synthetic_240419_123904,gpu,13,2.119,1.841,0.195,0.084,0.068
Synthetic_240419_123904,spinnaker,12,2.041,1.992,0.195,0.084,0.068
Synthetic_240419_124031,gpu,25,2.609,1.796,0.28,0.121,0.07
Synthetic_240419_124031,spinnaker,9,2.273,1.981,0.25,0.116,0.125
Synthetic_240419_124200,gpu,25,2.625,1.791,0.27,0.119,0.122
Synthetic_240419_124200,spinnaker,8,2.014,1.978,0.292,0.119,0.117
Synthetic_240419_124326,gpu,18,3.363,1.798,0.443,0.209,0.192
Synthetic_240419_124326,spinnaker,9,2.542,2.19,0.404,0.207,0.195
Synthetic_240419_124453,gpu,21,4.18,2.034,0.498,0.242,0.262
Synthetic_240419_124453,spinnaker,5,2.584,2.19,0.474,0.233,0.25
Synthetic_240419_124621,gpu,16,4.448,2.048,0.539,0.242,0.23
Synthetic_240419_124621,spinnaker,8,2.596,2.223,0.474,0.238,0.25
Synthetic_240419_124750,gpu,22,4.135,2.054,0.467,0.235,0.246
Synthetic_240419_124750,spinnaker,8,2.886,2.377,0.515,0.238,0.246
Synthetic_240419_124918,gpu,22,5.086,2.049,0.564,0.272,0.241
Synthetic_240419_124918,spinnaker,8,3.221,2.374,0.539,0.271,0.23
Synthetic_240419_125046,gpu,23,5.101,2.064,0.57,0.272,0.243
Synthetic_240419_125046,spinnaker,8,3.297,2.442,0.57,0.272,0.232
Synthetic_240419_125214,gpu,20,5.767,2.047,0.637,0.329,0.314
Synthetic_240419_125214,spinnaker,8,3.553,2.419,0.662,0.326,0.325
Synthetic_240419_125342,gpu,19,5.688,2.043,0.656,0.327,0.323
Synthetic_240419_125342,spinnaker,8,4.021,2.462,0.656,0.327,0.323
Synthetic_240419_125513,gpu,20,5.735,2.014,0.632,0.331,0.312
Synthetic_240419_125513,spinnaker,8,3.87,2.806,0.637,0.327,0.314
Synthetic_240419_125640,gpu,20,6.353,1.996,0.752,0.367,0.296
Synthetic_240419_125640,spinnaker,9,4.234,2.536,0.752,0.359,0.296
Synthetic_240419_125811,gpu,20,8.121,2.032,0.982,0.481,0.423
Synthetic_240419_125811,spinnaker,8,4.847,2.82,0.965,0.472,0.416
Synthetic_240419_125941,gpu,20,9.819,2.033,1.11,0.572,0.527
Synthetic_240419_125941,spinnaker,9,5.485,2.697,1.092,0.558,0.467
Synthetic_240419_130113,gpu,20,11.399,2.241,1.292,0.665,0.609
Synthetic_240419_130113,spinnaker,8,5.931,2.619,1.28,0.667,0.603
Synthetic_240419_130244,gpu,20,13.168,2.48,1.48,0.76,0.694
Synthetic_240419_130244,spinnaker,8,6.828,2.466,1.425,0.74,0.6
Synthetic_240419_130418,gpu,20,15.093,2.471,1.71,0.866,0.811
Synthetic_240419_130418,spinnaker,8,7.779,2.677,1.668,0.859,0.792
Synthetic_240419_130551,gpu,21,15.838,2.666,1.892,0.948,0.893
Synthetic_240419_130551,spinnaker,8,7.883,2.655,1.831,0.938,0.865
Synthetic_240419_130723,gpu,21,17.631,2.692,2.015,1.023,0.948
Synthetic_240419_130723,spinnaker,9,8.753,2.636,1.976,1.007,0.931
Synthetic_240419_130855,gpu,20,19.109,2.742,2.222,1.109,1.041
Synthetic_240419_130855,spinnaker,9,9.933,2.795,2.207,1.105,1.043
Synthetic_240419_131028,gpu,20,20.755,2.909,2.395,1.188,1.127
Synthetic_240419_131028,spinnaker,8,10.968,3.074,2.298,1.172,0.973
Synthetic_240419_131201,gpu,20,22.766,3.15,2.442,1.296,1.148
Synthetic_240419_131201,spinnaker,9,13.048,3.603,2.599,1.281,1.219
Synthetic_240422_091434,gpu,20,5.729,2.014,0.785,0.346,0.236
Synthetic_240422_091434,spinnaker,8,4.344,2.743,0.765,0.339,0.344
Synthetic_240422_091605,gpu,20,7.576,2.066,0.982,0.413,0.246
Synthetic_240422_091605,spinnaker,9,4.825,2.764,0.958,0.408,0.24
Synthetic_240422_091734,gpu,19,8.731,2.019,1.147,0.494,0.229
Synthetic_240422_091734,spinnaker,9,5.288,2.531,1.226,0.496,0.245
Synthetic_240422_091904,gpu,21,9.599,2.288,1.496,0.541,0.449
Synthetic_240422_091904,spinnaker,9,5.672,2.525,1.365,0.538,0.409
Synthetic_240422_092033,gpu,20,12.102,2.214,1.608,0.674,0.322
Synthetic_240422_092033,spinnaker,9,6.636,2.551,1.58,0.674,0.356
Synthetic_240422_092204,gpu,19,12.321,2.277,1.682,0.69,0.673
Synthetic_240422_092204,spinnaker,9,6.987,2.535,1.669,0.693,0.584
Synthetic_240422_092334,gpu,19,12.848,2.438,1.633,0.741,0.408
Synthetic_240422_092334,spinnaker,9,7.205,2.743,1.718,0.733,0.448
Synthetic_240422_092504,gpu,18,14.35,2.417,1.829,0.757,0.64
Synthetic_240422_092504,spinnaker,9,7.909,3.124,1.878,0.758,0.376
Synthetic_240422_092635,gpu,19,15.052,2.409,2.09,0.798,0.335
Synthetic_240422_092635,spinnaker,10,8.703,3.424,1.973,0.795,0.317
Synthetic_240422_092806,gpu,19,16.836,2.75,2.14,0.867,0.363
Synthetic_240422_092806,spinnaker,9,10.708,4.148,2.09,0.855,0.356
Synthetic_240422_093051,gpu,7,2.086,1.868,0.112,0.03,0.0
Synthetic_240422_093051,spinnaker,0,1.782,1.782,0.112,0.029,0.0
Synthetic_240422_093219,gpu,10,2.042,1.798,0.125,0.035,0.0
Synthetic_240422_093219,spinnaker,0,1.812,1.812,0.125,0.035,0.0
Synthetic_240422_093345,gpu,20,2.514,2.129,0.177,0.063,0.071
Synthetic_240422_093345,spinnaker,8,2.318,2.294,0.175,0.063,0.044
Synthetic_240422_093511,gpu,19,2.132,1.83,0.19,0.069,0.067
Synthetic_240422_093511,spinnaker,7,2.022,1.787,0.19,0.07,0.067
Synthetic_240422_093639,gpu,26,2.074,1.796,0.19,0.065,0.048
Synthetic_240422_093639,spinnaker,8,1.985,1.962,0.19,0.065,0.048
Synthetic_240422_093805,gpu,19,2.123,1.831,0.177,0.061,0.044
Synthetic_240422_093805,spinnaker,9,2.018,1.991,0.177,0.061,0.044
Synthetic_240422_093931,gpu,25,2.116,1.793,0.19,0.062,0.048
Synthetic_240422_093931,spinnaker,8,2.034,2.001,0.182,0.061,0.046
Synthetic_240422_094059,gpu,19,2.14,1.842,0.175,0.064,0.07
Synthetic_240422_094059,spinnaker,9,2.016,1.992,0.175,0.064,0.07
Synthetic_240422_094226,gpu,18,2.08,1.775,0.237,0.092,0.071
Synthetic_240422_094226,spinnaker,10,2.039,1.99,0.236,0.092,0.071
Synthetic_240422_094353,gpu,12,2.113,1.816,0.23,0.084,0.069
Synthetic_240422_094353,spinnaker,12,2.285,2.23,0.23,0.082,0.069
Synthetic_240422_094520,gpu,23,2.896,1.8,0.35,0.147,0.123
Synthetic_240422_094520,spinnaker,9,2.292,2.211,0.35,0.146,0.122
Synthetic_240422_094647,gpu,20,2.979,1.827,0.395,0.169,0.119
Synthetic_240422_094647,spinnaker,9,2.584,2.254,0.403,0.171,0.121
Synthetic_240422_094815,gpu,17,3.201,2.095,0.427,0.173,0.085
Synthetic_240422_094815,spinnaker,8,2.631,2.282,0.425,0.174,0.085
Synthetic_240422_094945,gpu,18,3.232,2.073,0.443,0.182,0.133
Synthetic_240422_094945,spinnaker,9,3.097,2.341,0.481,0.184,0.192
Synthetic_240422_095112,gpu,17,3.882,2.098,0.478,0.214,0.119
Synthetic_240422_095112,spinnaker,8,3.168,2.432,0.492,0.216,0.123
Synthetic_240422_095239,gpu,17,3.455,2.094,0.432,0.195,0.194
Synthetic_240422_095239,spinnaker,9,3.25,2.741,0.47,0.188,0.117
Synthetic_240422_095405,gpu,18,3.981,2.058,0.506,0.225,0.127
Synthetic_240422_095405,spinnaker,8,3.3,2.514,0.527,0.224,0.211
Synthetic_240422_095533,gpu,19,4.325,1.746,0.57,0.227,0.2
Synthetic_240422_095533,spinnaker,9,3.736,2.743,0.552,0.229,0.193
Synthetic_240422_095701,gpu,21,3.978,1.799,0.506,0.223,0.127
Synthetic_240422_095701,spinnaker,11,3.317,2.561,0.493,0.222,0.123
Synthetic_240422_095829,gpu,20,4.534,1.848,0.613,0.248,0.123
Synthetic_240422_095829,spinnaker,10,4.045,2.551,0.564,0.243,0.197
Synthetic_240422_103627,gpu,20,16.561,2.688,2.002,0.881,0.44
Synthetic_240422_103627,spinnaker,7,6.689,2.465,1.991,0.86,0.438
Synthetic_240422_103756,gpu,18,19.007,3.0,2.319,1.001,0.504
Synthetic_240422_103756,spinnaker,7,7.847,2.259,2.348,0.995,0.739
Synthetic_240422_103926,gpu,18,16.418,2.673,1.937,0.853,0.484
Synthetic_240422_103926,spinnaker,8,7.552,2.477,1.928,0.847,0.406
Synthetic_240422_104056,gpu,20,17.89,2.718,2.085,0.91,0.625
Synthetic_240422_104056,spinnaker,8,7.882,2.473,2.093,0.902,0.419
Synthetic_240422_104227,gpu,19,20.313,2.944,2.408,1.03,0.722
Synthetic_240422_104227,spinnaker,8,8.808,2.704,2.503,1.025,0.768
Synthetic_240422_104359,gpu,19,20.086,2.926,2.384,1.035,0.733
Synthetic_240422_104359,spinnaker,9,9.498,2.747,2.354,1.028,0.471
Synthetic_240422_104530,gpu,18,21.73,3.078,2.53,1.074,0.422
Synthetic_240422_104530,spinnaker,8,9.772,2.733,2.546,1.071,0.529
Synthetic_240422_104701,gpu,18,22.513,3.156,2.571,1.136,0.534
Synthetic_240422_104701,spinnaker,9,11.009,3.26,2.491,1.128,0.518
Synthetic_240422_104834,gpu,19,19.856,3.05,2.153,0.986,0.538
Synthetic_240422_104834,spinnaker,9,11.267,3.652,2.182,0.996,0.546
Synthetic_240422_105007,gpu,20,20.62,2.988,2.372,1.011,0.712
Synthetic_240422_105007,spinnaker,9,11.976,3.901,2.38,1.007,0.476
Synthetic_240422_161512,gpu,19,5.064,1.414,0.325,0.236,0.244
Synthetic_240422_161512,spinnaker,5,2.228,1.414,0.35,0.234,0.245
Synthetic_240422_161640,gpu,21,18.833,2.846,1.175,0.891,0.94
Synthetic_240422_161640,spinnaker,8,7.617,1.707,1.175,0.892,0.999
Synthetic_240422_161810,gpu,20,53.427,7.527,3.425,2.135,2.74
Synthetic_240422_161810,spinnaker,9,27.215,3.683,3.825,2.131,2.869
Synthetic_240422_163052,gpu,0,nan,nan,0.05,0.015,0.0
Synthetic_240422_163143,spinnaker,98,1.736,1.623,0.05,0.015,0.0
Synthetic_240422_163225,spinnaker,6,1.712,1.414,0.1,0.058,0.045
Synthetic_240422_163308,spinnaker,9,25.365,3.805,3.525,2.13,2.82
