Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,ModeSpeed
manual_240416_171630,spinnaker,10,1.812,0.904,4.549,0.133,0.05
manual_240416_171630,gpu,19,2.225,0.696,4.549,0.133,0.05
jp_manual_v1,spinnaker,9,3.104,1.611,3.757,0.315,0.158
jp_manual_v1,gpu,19,5.759,0.945,3.78,0.314,0.158
manual_240417_104038,spinnaker,8,4.246,1.556,2.62,0.461,0.655
manual_240417_104038,gpu,19,8.895,1.67,2.62,0.461,0.655
manual_240417_131858,spinnaker,11,5.273,3.908,4.844,0.332,0.0
manual_240417_131858,gpu,19,5.92,2.057,5.334,0.337,0.0
manual_240417_132059,spinnaker,8,3.506,1.998,2.015,0.326,0.202
manual_240417_132059,gpu,20,6.176,2.141,2.015,0.325,0.202
manual_240416_171459,spinnaker,8,2.686,1.246,2.94,0.272,0.294
manual_240416_171459,gpu,19,5.421,0.929,2.94,0.271,0.294
manual_240416_171328,spinnaker,9,2.045,1.465,5.295,0.168,0.0
manual_240416_171328,gpu,20,2.931,0.93,5.295,0.169,0.0
manual_240416_171730,spinnaker,9,0.995,0.595,3.181,0.06,0.0
manual_240416_171730,gpu,23,1.611,0.756,3.181,0.06,0.0
manual_240416_171630,spinnaker,11,1.737,0.907,4.549,0.134,0.05
manual_240416_171630,gpu,19,2.22,0.672,4.549,0.133,0.05
jp_manual_v1,spinnaker,8,3.163,1.69,3.78,0.315,0.158
jp_manual_v1,gpu,19,5.957,0.949,3.757,0.314,0.158
manual_240417_104038,spinnaker,8,4.253,1.565,2.62,0.461,0.655
manual_240417_104038,gpu,19,8.875,1.601,2.62,0.461,0.655
manual_240417_131858,spinnaker,12,5.537,4.169,5.334,0.335,0.0
manual_240417_131858,gpu,19,5.706,1.987,4.869,0.336,0.243
manual_240417_132059,spinnaker,8,3.218,1.777,2.015,0.326,0.202
manual_240417_132059,gpu,21,6.575,2.422,2.015,0.324,0.202
manual_240416_171459,spinnaker,8,2.676,1.196,2.94,0.272,0.294
manual_240416_171459,gpu,19,5.347,0.958,2.94,0.272,0.294
manual_240416_171328,spinnaker,9,2.096,1.504,5.295,0.169,0.0
manual_240416_171328,gpu,20,3.047,1.103,5.295,0.169,0.0
manual_240416_171730,spinnaker,10,1.292,0.625,3.181,0.061,0.0
manual_240416_171730,gpu,22,1.662,0.716,3.181,0.061,0.0
manual_240417_103707,spinnaker,10,2.388,1.89,3.12,0.135,0.05
manual_240417_103707,gpu,20,2.238,0.69,3.12,0.135,0.05
manual_240416_171559,spinnaker,7,4.189,1.565,1.531,0.428,0.536
manual_240416_171559,gpu,19,8.235,1.226,1.531,0.428,0.536
manual_240417_103907,spinnaker,8,4.055,1.648,2.544,0.365,0.382
manual_240417_103907,gpu,20,7.397,0.998,2.544,0.365,0.382
manual_240417_131958,spinnaker,13,4.039,2.732,4.846,0.268,0.0
manual_240417_131958,gpu,19,5.629,2.365,4.846,0.27,0.0
manual_240417_103938,spinnaker,8,3.238,1.688,4.561,0.302,0.228
manual_240417_103938,gpu,19,5.41,1.023,4.543,0.302,0.227
manual_240417_131727,spinnaker,10,4.091,2.528,3.075,0.309,0.307
manual_240417_131727,gpu,19,6.335,1.314,3.075,0.31,0.307
manual_240417_131928,spinnaker,8,5.999,5.347,5.453,0.267,0.0
manual_240417_131928,gpu,20,7.882,5.376,5.453,0.268,0.0
manual_240417_103737,spinnaker,10,2.38,1.817,1.652,0.171,0.083
manual_240417_103737,gpu,21,3.332,1.416,1.668,0.171,0.167
manual_240417_132028,spinnaker,9,4.605,3.135,2.007,0.296,0.201
manual_240417_132028,gpu,21,7.322,3.103,2.007,0.296,0.201
manual_240417_132159,spinnaker,9,6.132,4.025,5.812,0.376,0.0
manual_240417_132159,gpu,20,8.192,2.766,5.836,0.375,0.0
manual_240417_103807,spinnaker,3,1.637,1.618,5.445,0.074,0.0
manual_240417_103807,gpu,84,8.695,5.442,5.445,0.076,0.0
manual_240417_104108,spinnaker,8,1.195,0.824,3.764,0.096,0.0
manual_240417_104108,gpu,20,2.392,1.416,3.745,0.098,0.0
manual_240416_171429,spinnaker,10,4.313,2.59,2.46,0.332,0.369
manual_240416_171429,gpu,19,6.34,1.117,2.46,0.331,0.369
manual_240417_103837,spinnaker,9,4.123,1.84,3.29,0.422,0.494
manual_240417_103837,gpu,19,7.824,1.281,3.29,0.424,0.494
manual_240417_131828,spinnaker,10,4.953,2.976,6.524,0.395,0.326
manual_240417_131828,gpu,19,7.271,1.872,6.524,0.395,0.326
manual_240417_131757,spinnaker,11,4.139,2.611,3.035,0.316,0.152
manual_240417_131757,gpu,19,5.875,1.63,3.015,0.312,0.151
jp_manual_v2,spinnaker,11,9.142,3.837,4.084,0.739,0.49
jp_manual_v2,gpu,19,13.81,2.41,4.084,0.741,0.64
manual_240416_171700,spinnaker,9,1.324,1.065,5.298,0.119,0.0
manual_240416_171700,gpu,21,2.556,1.472,5.298,0.119,0.0
manual_240416_171529,spinnaker,8,3.889,1.939,3.366,0.345,0.337
manual_240416_171529,gpu,19,6.953,1.387,3.366,0.345,0.337
manual_240417_104008,spinnaker,8,4.112,1.578,4.328,0.441,0.433
manual_240417_104008,gpu,19,8.688,1.766,4.328,0.443,0.433
manual_240416_171258,spinnaker,8,2.349,1.125,4.048,0.256,0.202
manual_240416_171258,gpu,20,4.563,0.98,4.048,0.256,0.202
jp_manual_v4,spinnaker,11,3.019,2.415,5.866,0.215,0.0
jp_manual_v4,gpu,19,3.411,1.215,5.866,0.214,0.0
manual_240416_171358,spinnaker,10,3.251,1.859,2.62,0.274,0.262
manual_240416_171358,gpu,19,5.255,0.994,2.62,0.274,0.262
jp_manual_v3,spinnaker,9,5.684,2.26,3.647,0.544,0.547
jp_manual_v3,gpu,19,10.773,1.691,3.647,0.544,0.547
manual_240417_132129,spinnaker,8,3.723,2.475,4.442,0.365,0.222
manual_240417_132129,gpu,19,5.775,1.743,4.442,0.364,0.222
jp_manual_v5,spinnaker,8,5.778,2.192,2.55,0.606,0.579
jp_manual_v5,gpu,19,11.169,1.806,2.55,0.605,0.579
manual_240417_131828,spinnaker,41,13.574,5.819,6.524,0.395,0.326
manual_240417_131828,spinnaker,7,3.206,1.63,6.524,0.394,0.326
manual_240417_131828,spinnaker,7,3.194,1.705,6.524,0.394,0.326
manual_240417_131828,spinnaker,7,3.093,1.672,6.524,0.395,0.326
manual_240417_131828,spinnaker,7,3.114,1.671,6.524,0.393,0.326
manual_240417_131828,spinnaker,7,3.216,1.685,6.524,0.394,0.326
manual_240417_131828,spinnaker,7,3.281,1.728,6.524,0.395,0.326
manual_240417_131828,spinnaker,7,3.151,1.696,6.524,0.394,0.326
manual_240417_131828,spinnaker,7,3.026,1.694,6.524,0.395,0.326
manual_240417_131828,spinnaker,7,3.253,1.684,6.524,0.395,0.326
manual_240417_131828,spinnaker,7,3.486,1.65,6.524,0.395,0.326
manual_240417_131828,spinnaker,7,3.218,1.653,6.524,0.394,0.326
manual_240417_131828,spinnaker,6,3.195,1.688,6.524,0.393,0.326
manual_240417_131828,spinnaker,7,3.104,1.637,6.524,0.395,0.326
manual_240417_131828,spinnaker,7,3.149,1.668,6.524,0.395,0.326
manual_240417_131828,spinnaker,7,3.21,1.623,6.524,0.396,0.326
manual_240417_131828,spinnaker,7,3.143,1.628,6.524,0.392,0.326
manual_240417_131828,spinnaker,7,3.143,1.633,6.524,0.395,0.326
manual_240417_131828,spinnaker,7,3.167,1.727,6.524,0.396,0.326
manual_240417_131828,spinnaker,7,3.135,1.625,6.524,0.396,0.326
manual_240417_131828,spinnaker,7,3.245,1.693,6.524,0.394,0.326
manual_240417_131828,spinnaker,0,200.656,200.656,6.524,0.393,0.326
manual_240417_131828,spinnaker,0,200.695,200.695,6.524,0.395,0.326
manual_240417_131828,spinnaker,0,200.695,200.695,6.524,0.395,0.326
manual_240417_131828,spinnaker,0,200.681,200.681,6.524,0.395,0.326
manual_240417_131828,spinnaker,0,200.636,200.636,6.524,0.395,0.326
manual_240417_131828,spinnaker,0,200.614,200.614,6.524,0.393,0.326
manual_240417_131828,spinnaker,0,200.65,200.65,6.524,0.395,0.326
manual_240417_131828,gpu,19,7.347,1.876,6.524,0.396,0.326
manual_240417_131828,gpu,19,7.446,1.937,6.524,0.395,0.326
manual_240417_131828,gpu,19,7.355,1.931,6.524,0.395,0.326
manual_240417_131828,gpu,17,6.542,1.616,6.524,0.395,0.326
manual_240417_131828,gpu,19,18.156,12.806,6.524,0.395,0.326
