Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
manual_240416_171630,spinnaker,71,9.679,4.819,4.673,0.198,0.37673267326732673
manual_240416_171630,gpu,41,27.28,25.44,4.695,0.199,0.7301980198019802
jp_manual_v1,spinnaker,23,16.41,13.045,3.78,0.328,0.5351485148514852
jp_manual_v1,gpu,24,12.855,7.35,3.757,0.327,0.4044554455445545
manual_240417_104038,spinnaker,24,22.841,17.089,2.62,0.489,0.5143564356435644
manual_240417_104038,gpu,77,37.421,22.575,2.62,0.486,0.7014851485148514
constant_240423_103946,gpu,22,5.988,2.243,5.597,0.164,0.1193069306930693
manual_240417_131858,spinnaker,19,13.0,9.468,4.497,0.313,0.5653465346534653
manual_240417_131858,gpu,24,15.529,9.826,4.497,0.31,0.5168316831683168
manual_240417_132059,spinnaker,24,20.152,17.042,2.051,0.324,0.5881188118811881
manual_240417_132059,gpu,32,29.203,24.878,2.051,0.323,0.6212871287128713
manual_240416_171459,spinnaker,32,14.548,10.142,2.94,0.269,0.5480198019801981
manual_240416_171459,gpu,31,12.163,6.886,3.016,0.275,0.5262376237623763
manual_240416_171328,spinnaker,24,59.313,58.006,5.306,0.22,0.4772277227722772
manual_240416_171328,gpu,21,38.529,37.403,5.306,0.22,0.6321782178217822
manual_240416_171730,spinnaker,10,5.061,4.298,3.17,0.115,0.6272277227722772
manual_240416_171730,gpu,99,29.56,27.421,3.17,0.115,0.9331683168316832
manual_240417_103707,spinnaker,9,3.623,2.342,3.143,0.145,0.23267326732673269
manual_240417_103707,gpu,25,6.473,4.222,3.143,0.145,0.4054455445544555
manual_240416_171559,spinnaker,16,13.545,10.276,1.73,0.386,0.4594059405940594
manual_240416_171559,gpu,40,28.439,19.058,1.73,0.386,0.549009900990099
manual_240417_103907,spinnaker,23,11.157,7.02,2.512,0.387,0.46782178217821785
manual_240417_103907,gpu,24,12.803,7.223,2.488,0.386,0.4064356435643564
manual_240417_131958,spinnaker,15,9.617,6.746,4.801,0.371,0.3321782178217822
manual_240417_131958,gpu,22,17.62,12.166,4.858,0.326,0.3673267326732673
constant_240423_104016,spinnaker,18,11.664,8.939,5.235,0.207,0.348019801980198
constant_240423_104016,gpu,25,12.246,7.063,5.235,0.207,0.37574257425742574
manual_240417_103938,spinnaker,30,10.657,5.942,4.543,0.339,0.4297029702970297
manual_240417_103938,gpu,25,12.725,8.056,4.543,0.339,0.4188118811881188
manual_240417_131928,spinnaker,9,8.474,7.358,5.453,0.167,0.5618811881188119
manual_240417_131928,gpu,20,10.289,7.533,5.453,0.17,0.602970297029703
manual_240417_103737,spinnaker,19,8.332,6.996,1.665,0.154,0.5202970297029703
manual_240417_103737,gpu,24,20.23,18.523,1.665,0.154,0.6584158415841584
manual_240417_132028,spinnaker,77,29.824,27.046,1.825,0.213,0.5896039603960396
manual_240417_132028,gpu,99,62.794,54.129,1.825,0.196,0.6504950495049505
constant_240422_163930,spinnaker,8,2.011,0.918,2.577,0.111,0.18118811881188118
constant_240422_163930,gpu,29,7.743,4.854,2.577,0.111,0.3801980198019802
manual_240417_132159,spinnaker,36,23.038,18.002,6.023,0.42,0.6123762376237624
manual_240417_132159,gpu,77,47.954,39.926,6.023,0.42,0.654950495049505
constant_240423_104046,spinnaker,10,7.034,4.386,6.137,0.3,0.10445544554455445
constant_240423_104046,gpu,19,8.174,4.703,6.113,0.3,0.15792079207920792
manual_240417_103807,spinnaker,0,0.0,0.0,0.0,0.0,0.9900990099009901
manual_240417_103807,gpu,0,159.656,159.656,0.0,0.0,0.9900990099009901
manual_240417_104108,spinnaker,10,18.792,17.959,3.858,0.123,0.7995049504950495
manual_240417_104108,gpu,0,25.145,25.145,3.858,0.123,0.9900990099009901
manual_240416_171429,spinnaker,12,8.849,6.581,2.471,0.334,0.15396039603960396
manual_240416_171429,gpu,20,15.525,9.923,2.437,0.333,0.19207920792079208
manual_240417_103837,spinnaker,14,7.895,3.693,3.21,0.395,0.21782178217821782
manual_240417_103837,gpu,25,13.436,5.298,3.29,0.395,0.38811881188118813
manual_240417_131828,spinnaker,17,16.15,12.187,6.577,0.503,0.21831683168316832
