Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
manual_240422_164001,spinnaker,8,5.017,2.227,0.869,0.494,0.0
manual_240422_164001,gpu,20,11.32,3.538,0.865,0.494,0.019
manual_240423_103629,spinnaker,10,1.313,0.945,0.534,0.071,0.3115
manual_240423_103629,gpu,21,2.024,0.859,0.463,0.071,0.334
manual_240417_104038,spinnaker,8,5.11,2.273,0.803,0.475,0.0535
manual_240417_104038,gpu,20,10.157,2.638,0.806,0.475,0.0445
manual_240425_232328,spinnaker,12,9.278,5.456,0.914,0.59,0.039
manual_240425_232328,gpu,21,16.072,7.254,1.043,0.591,0.068
manual_240417_131858,spinnaker,9,4.986,3.291,2.374,0.332,0.178
manual_240417_131858,gpu,19,6.571,2.431,2.374,0.332,0.117
manual_240417_132059,spinnaker,11,8.477,6.554,1.085,0.308,0.1885
manual_240417_132059,gpu,20,10.664,6.549,1.085,0.309,0.1855
manual_240416_171459,spinnaker,8,4.182,2.696,0.486,0.273,0.1495
manual_240416_171459,gpu,19,5.194,1.235,0.487,0.273,0.0875
manual_240416_171730,spinnaker,10,12.06,11.995,3.154,0.11,0.4725
manual_240417_103707,spinnaker,9,1.374,0.803,0.488,0.129,0.028
manual_240417_103707,gpu,20,2.703,1.01,0.486,0.128,0.0485
manual_240416_171559,spinnaker,8,3.569,1.34,0.778,0.399,0.053
manual_240416_171559,gpu,19,7.54,1.413,0.776,0.397,0.0435
manual_240417_103907,spinnaker,8,4.298,2.357,0.755,0.333,0.104
manual_240417_103907,gpu,18,6.196,1.167,0.752,0.332,0.037
manual_240417_131958,spinnaker,9,5.418,3.986,0.828,0.264,0.2905
manual_240417_131958,gpu,20,7.067,3.352,0.827,0.273,0.296
manual_240417_103938,spinnaker,8,2.498,1.165,0.444,0.254,0.0695
manual_240417_103938,gpu,19,4.744,1.026,0.443,0.254,0.0505
manual_240417_131727,spinnaker,8,2.732,1.116,0.551,0.303,0.005
manual_240417_131727,gpu,18,5.87,1.458,0.551,0.302,0.0095
manual_240417_103737,spinnaker,11,2.196,1.562,0.388,0.137,0.2355
manual_240417_103737,gpu,21,3.093,1.613,0.386,0.137,0.245
manual_240417_132028,spinnaker,13,18.894,17.341,0.782,0.228,0.361
manual_240417_132028,gpu,22,12.433,7.117,0.795,0.23,0.2465
manual_240423_103946,spinnaker,8,1.574,0.936,0.373,0.153,0.0
manual_240423_103946,gpu,18,2.864,0.928,0.374,0.153,0.0
manual_240425_232327,spinnaker,17,12.573,6.888,1.106,0.71,0.0
manual_240425_232327,gpu,20,14.443,3.805,1.109,0.708,0.0145
manual_240417_132159,spinnaker,9,7.59,5.711,0.941,0.354,0.141
manual_240417_132159,gpu,20,10.23,5.104,0.939,0.351,0.121
manual_240425_232321,spinnaker,7,1.969,1.179,2.626,0.221,0.0265
manual_240425_232321,gpu,18,3.849,1.408,2.471,0.221,0.029
manual_240423_104016,spinnaker,8,12.223,11.168,6.183,0.32,0.14
manual_240423_104016,gpu,18,13.774,11.097,6.184,0.321,0.123
manual_240416_171429,spinnaker,9,4.397,2.415,0.573,0.316,0.026
manual_240416_171429,gpu,19,6.051,1.149,0.575,0.316,0.037
manual_240417_103837,spinnaker,8,3.433,1.088,0.752,0.392,0.016
manual_240417_103837,gpu,19,7.256,1.312,0.757,0.392,0.02
manual_240422_163930,spinnaker,9,3.341,2.973,2.426,0.159,0.053
manual_240422_163930,gpu,19,4.32,3.183,2.426,0.159,0.0725
manual_240417_131828,spinnaker,9,6.067,3.452,0.736,0.387,0.0585
manual_240417_131828,gpu,19,7.587,1.35,0.736,0.387,0.0485
manual_240417_131757,spinnaker,8,3.489,1.595,0.635,0.327,0.0035
manual_240417_131757,gpu,18,6.248,1.433,0.638,0.327,0.005
manual_240416_171529,spinnaker,11,6.531,4.274,0.569,0.331,0.1675
manual_240416_171529,gpu,20,8.158,2.747,0.57,0.331,0.1455
manual_240417_104008,spinnaker,9,6.286,3.779,3.725,0.455,0.0765
manual_240417_104008,gpu,20,10.717,3.899,3.581,0.455,0.069
manual_240416_171258,spinnaker,13,4.698,3.107,0.65,0.238,0.128
manual_240416_171258,gpu,19,4.774,1.416,0.651,0.238,0.034
manual_240423_104146,spinnaker,16,10.902,6.427,1.288,0.549,0.0565
manual_240423_104146,gpu,19,12.475,3.881,1.282,0.547,0.07
manual_240425_232323,spinnaker,8,4.029,2.306,0.762,0.323,0.0275
manual_240425_232323,gpu,19,5.818,1.16,0.763,0.324,0.0
manual_240416_171358,spinnaker,8,2.684,1.27,0.745,0.241,0.1025
manual_240416_171358,gpu,19,4.667,1.12,0.745,0.241,0.092
manual_240425_232329,spinnaker,10,7.011,3.732,0.845,0.585,0.0
manual_240425_232329,gpu,20,12.279,3.959,0.837,0.585,0.024
manual_240423_104046,spinnaker,8,1.768,0.656,0.335,0.21,0.054
manual_240423_104046,gpu,19,4.011,0.947,0.336,0.21,0.0535
manual_240423_104116,spinnaker,9,5.968,3.73,0.633,0.367,0.046
manual_240423_104116,gpu,19,7.018,1.445,0.633,0.366,0.0295
manual_240417_132129,spinnaker,10,6.557,4.24,1.148,0.38,0.1165
manual_240417_132129,gpu,19,7.894,2.562,1.198,0.379,0.097
