Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_240424_154136_v1,gpu,23,0.842,0.252,0.09,0.036,0.138
Synthetic_240424_154136_v2,gpu,26,1.055,0.428,0.079,0.036,0.174
Synthetic_240424_154136_v3,gpu,24,0.923,0.323,0.09,0.035,0.172
Synthetic_240424_154304_v1,gpu,23,0.826,0.313,0.09,0.037,0.1325
Synthetic_240424_154304_v2,gpu,22,0.873,0.343,0.09,0.037,0.13
Synthetic_240424_154304_v3,gpu,22,0.811,0.301,0.09,0.037,0.115
Synthetic_240424_161112_v1,gpu,22,9.637,3.576,0.859,0.373,0.106
Synthetic_240424_161112_v2,gpu,21,10.255,3.896,0.859,0.391,0.104
Synthetic_240424_161112_v3,gpu,22,9.734,3.643,0.828,0.372,0.105
Synthetic_240424_161409_v1,gpu,23,16.518,7.414,1.139,0.53,0.1795
Synthetic_240424_161409_v2,gpu,23,16.037,7.228,1.201,0.528,0.1905
Synthetic_240424_161409_v2,spinnaker,10,9.509,5.753,1.167,0.529,0.1215
Synthetic_240424_161409_v3,gpu,24,19.759,10.176,1.275,0.555,0.214
Synthetic_240424_161538_v1,gpu,22,16.469,6.612,1.35,0.591,0.1475
Synthetic_240424_161538_v2,gpu,23,17.373,7.537,1.279,0.589,0.1695
Synthetic_240424_161538_v3,gpu,26,20.564,9.665,1.295,0.589,0.2305
Synthetic_240424_161706_v1,gpu,22,14.259,5.243,1.192,0.535,0.1175
Synthetic_240424_161706_v2,gpu,22,14.05,4.907,1.188,0.536,0.1175
Synthetic_240424_161706_v3,gpu,22,14.318,5.337,1.195,0.531,0.1075
Synthetic_240424_161834_v2,gpu,24,17.041,6.901,1.299,0.573,0.2
Synthetic_240424_161834_v3,gpu,22,14.223,4.545,1.28,0.582,0.1205
Synthetic_240424_162002_v1,gpu,32,95.026,87.812,1.867,0.781,0.666
Synthetic_240424_162002_v2,gpu,34,28.98,12.479,1.764,0.778,0.3075
Synthetic_240424_162002_v3,gpu,35,29.813,13.795,1.789,0.777,0.3275
Synthetic_240424_162130_v1,gpu,26,26.072,12.423,1.728,0.81,0.293
Synthetic_240424_162130_v2,gpu,31,31.186,16.87,1.891,0.877,0.374
Synthetic_240424_162130_v3,gpu,36,31.498,17.116,1.76,0.834,0.431
Synthetic_240424_162258_v1,gpu,37,33.426,22.101,1.888,0.893,0.5405
Synthetic_240424_162258_v2,gpu,37,34.514,19.284,2.045,0.895,0.418
Synthetic_240424_162258_v3,gpu,34,32.844,16.81,2.016,0.897,0.3965
Synthetic_240424_162426_v1,gpu,39,33.578,16.229,1.854,0.828,0.4085
Synthetic_240424_162426_v2,gpu,31,30.594,16.727,1.961,0.876,0.418
Synthetic_240424_162426_v3,gpu,31,30.55,15.409,1.958,0.864,0.3135
Synthetic_240424_163920_v3,gpu,22,10.997,4.879,0.834,0.374,0.1055
Zuper,gpu,99,147.841,146.775,1.231,0.563,0.95
